canonical_name,n_users,sample_desc,avg_conf,polarity_neg,polarity_pos,max_sim_to_predef,best_predef_match,category
70s_horror_admirer,1,"The user shows a particular fondness for horror films from the 1970s, frequently highlighting them as classics.",0.85,0,1,0.33542567,genre_preference,medium_specific
action_and_humor_combination,1,"The user enjoys movies that blend action with humor, finding this combination particularly entertaining.",0.8,0,1,0.45494682,sensory_preference,medium_specific
actor_admiration,1,"The user expresses a clear admiration for specific actors, particularly Lena Olin and Abbie Cornish, often highlighting their performances as a reason for enjoying films.",0.85,0,1,0.3273195,brand_loyalty,medium_specific
actor_loyalty,1,"The user shows a preference for films featuring specific actors, indicating that their enjoyment of a movie can be influenced by the cast.",0.75,0,1,0.63845587,brand_loyalty,medium_specific
actor_preference_lori_loughlin,1,"The user expresses a specific fondness for actress Lori Loughlin, indicating a preference for her performances in mystery movies.",0.85,0,1,0.4083453,genre_preference,medium_specific
actor_versus_rapper_preference,1,"The user believes that certain artists, like 50 Cent, are better suited for acting than their original careers in music.",0.7,0,1,0.354087,genre_preference,medium_specific
adaptation_fidelity,1,The user prefers adaptations that remain faithful to the source material while effectively translating its essence to film.,0.9,0,1,0.44662836,sensory_preference,medium_specific
admiration_for_director_auteurs,1,"The user shows a strong appreciation for the work of specific directors, particularly Akira Kurosawa, and values their unique storytelling styles.",0.85,0,1,0.3110094,narrative_complexity,medium_specific
animal_cruelty_awareness,1,The user shows a strong preference for films and documentaries that highlight issues of animal cruelty and advocate for animal rights.,0.9,0,1,0.3097549,genre_preference,medium_specific
animated_childhood_nostalgia,1,"The user has a fondness for animated series from their childhood, enjoying them both with children and alone.",0.9,0,1,0.36910063,emotional_resonance,surface
animated_movie_comparisons,1,"The user often compares animated films to their originals, indicating a preference for certain adaptations over others.",0.7,0,0,0.4043757,sensory_preference,medium_specific
animation_quality,1,"The user appreciates high-quality animation in films and shows, particularly those that are visually appealing and entertaining for children.",0.85,0,1,0.41088092,sensory_preference,medium_specific
animation_quality_valued,1,"The user places a high value on the quality of animation in movies, often praising it when done well.",0.9,0,1,0.4438972,quality_sensitivity,medium_specific
anticipation_for_collection,1,"The user shows excitement and anticipation for completing their collection of a series, indicating a strong commitment to their interests.",0.8,0,1,0.33922696,pacing_preference,surface
appreciation_for_action_scenes,1,"The user values action scenes in films, particularly in the context of thought-provoking narratives.",0.8,0,1,0.50531644,sensory_preference,medium_specific
appreciation_for_adaptations,3,"The user appreciates when movies successfully adapt books, indicating a preference for well-executed adaptations.",0.8166666666666668,0,3,0.41188112,sensory_preference,medium_specific
appreciation_for_authenticity,1,"The user values authenticity in storytelling, particularly in portrayals of street life and real experiences.",0.8,0,1,0.4176405,emotional_resonance,surface
appreciation_for_british_cinema,1,"The user expresses a clear fondness for British films and series, often highlighting their quality.",0.85,0,1,0.397226,genre_preference,medium_specific
