cluster_id,canonical,n_members,members_sample,n_users_total,avg_conf_mean
40,nostalgic_preference,39,nostalgic_preference | appreciation_for_classics | nostalgic_appreciation | nostalgic_rewatch_value | appreciation_for_classic_storytelling | nostalgic_aesthetic_appreciation | nostalgia_appreciation | nostalgia_for_classic_films,55,0.8236538461538462
28,family_friendly_content,19,family_friendly_content | family_friendly_content_preference | high_rating_for_family_content | strong_family_focus | value_for_family_friendly_content | positive_experience_with_kids_content | preference_for_adult_content | preference_for_family_friendly_content,39,0.8443421052631579
58,appreciation_for_performances,15,appreciation_for_performances | character_performance_appreciation | high_quality_performances | strong_character_performance | strong_performances | performance_appreciation | preference_for_strong_performances | preference_for_high_quality_performances,18,0.8166666666666667
38,humor_appreciation,9,humor_appreciation | appreciation_for_comedy | humor_in_storytelling | preference_for_humor | appreciation_for_witty_dialogue | appreciation_for_heartfelt_stories | appreciation_for_humor | dark_humor_appreciation,17,0.7810185185185186
46,visual_aesthetic_appreciation,14,visual_aesthetic_appreciation | high_quality_appreciation | visual_aesthetics | visual_aesthetics_value | repeated_affirmation_of_quality | appreciation_for_technical_excellence | appreciation_for_visual_aesthetics | appreciation_for_visual_beauty,15,0.8107142857142857
53,emotional_resonance,3,emotional_resonance | emotional_impact | emotional_impact_importance,14,0.8680555555555555
13,high_recommendation,10,high_recommendation | enthusiastic_recommendation | high_recommendation_frequency | high_excitement_for_recommendations | strong_recommendation_preference | value_in_recommendations | positive_recommendation | positive_sentiment_towards_movies,13,0.865
47,dislike_for_poor_execution,9,dislike_for_poor_execution | dislike_for_poor_storytelling | strong_dislike_for_bad_acting | disdain_for_poor_production_quality | dislike_for_poor_production | dislike_for_poor_production_quality | dislike_for_poor_production_values | dislike_for_poor_quality_films,11,0.8888888888888888
45,disappointment_with_adaptations,10,disappointment_with_adaptations | disappointment_with_hype | disappointment_with_high_expectations | disappointment_in_low_ratings | disappointment_in_adaptations | disappointment_in_execution | disappointment_in_high_expectations | disappointment_in_lack_of_detail,11,0.7825
41,high_rewatch_value,11,high_rewatch_value | repeated_viewing | repeated_viewing_value | repetitive_viewing_preference | rewatchable_favorites | repeated_enjoyment_of_movies | re_watchability | enjoyment_of_rewatchable_content,11,0.8409090909090909
52,appreciation_for_character_depth,9,appreciation_for_character_depth | narrative_depth | value_for_character_depth | preference_for_character_depth | character_depth_and_growth | character_depth_appreciation | character_depth_importance | appreciation_for_story_depth,11,0.8296296296296296
31,historical_context_appreciation,7,historical_context_appreciation | historical_interest | historical_significance_appreciation | interest_in_historical_context | value_for_historical_context | appreciation_for_historical_films | educational_value,10,0.7857142857142857
54,interest_in_suspense_and_intrigue,10,interest_in_suspense_and_intrigue | suspense_enjoyment | suspense_and_intrigue_value | suspense_and_tension | suspense_appreciation | appreciation_for_action_and_suspense | appreciation_for_action_genre | action_and_thrills_preference,10,0.8400000000000001
59,story_engagement,8,story_engagement | narrative_engagement | high_engagement_with_storytelling | preference_for_engaging_stories | appreciation_for_storytelling | appreciation_for_good_storytelling | appreciation_for_good_plot | engaging_storytelling,9,0.846875
